MiniDOT Logger Concatenated Data File
Sensor:             7450-198892
Concatenation Date: 2024Jun20 15:39:07 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1716059460,           2024-05-18 19:11:00,           2024-05-18 13:11:00,      3.530000,     25.728000,          6.438000,                    78.960637,      0.960000
                1716060060,           2024-05-18 19:21:00,           2024-05-18 13:21:00,      3.530000,     24.887000,          6.537000,                    78.947431,      0.959000
                1716060660,           2024-05-18 19:31:00,           2024-05-18 13:31:00,      3.530000,     24.719000,          6.586000,                    79.292705,      0.960000
                1716061260,           2024-05-18 19:41:00,           2024-05-18 13:41:00,      3.540000,     18.034000,          7.527000,                    79.565166,      0.958000
                1716061860,           2024-05-18 19:51:00,           2024-05-18 13:51:00,      3.540000,     20.434000,          7.148000,                    79.296578,      0.960000
                1716062460,           2024-05-18 20:01:00,           2024-05-18 14:01:00,      3.530000,     20.910000,          7.091000,                    79.403830,      0.961000
                1716063060,           2024-05-18 20:11:00,           2024-05-18 14:11:00,      3.540000,     19.144000,          7.179000,                    77.618312,      0.957000
                1716063660,           2024-05-18 20:21:00,           2024-05-18 14:21:00,      3.530000,     19.630000,          7.221000,                    78.837490,      0.960000
                1716064260,           2024-05-18 20:31:00,           2024-05-18 14:31:00,      3.530000,     19.856000,          7.222000,                    79.204736,      0.960000
                1716064860,           2024-05-18 20:41:00,           2024-05-18 14:41:00,      3.540000,     18.051000,          7.410000,                    78.355717,      0.960000
                1716065460,           2024-05-18 20:51:00,           2024-05-18 14:51:00,      3.540000,     19.395000,          7.220000,                    78.456494,      0.962000
                1716066060,           2024-05-18 21:01:00,           2024-05-18 15:01:00,      3.540000,     18.657000,          6.149000,                    65.830521,      0.945000
                1716066660,           2024-05-18 21:11:00,           2024-05-18 15:11:00,      3.550000,      7.253000,          9.110000,                    75.522872,      0.953000
                1716067260,           2024-05-18 21:21:00,           2024-05-18 15:21:00,      3.550000,      6.608000,          9.338000,                    76.178405,      0.958000
                1716067860,           2024-05-18 21:31:00,           2024-05-18 15:31:00,      3.550000,      6.345000,          9.401000,                    76.187066,      0.960000
                1716068460,           2024-05-18 21:41:00,           2024-05-18 15:41:00,      3.550000,      6.219000,          9.448000,                    76.324994,      0.961000
                1716069060,           2024-05-18 21:51:00,           2024-05-18 15:51:00,      3.550000,      6.111000,          9.455000,                    76.173298,      0.961000
                1716069660,           2024-05-18 22:01:00,           2024-05-18 16:01:00,      3.550000,      6.150000,          9.460000,                    76.288801,      0.960000
                1716070260,           2024-05-18 22:11:00,           2024-05-18 16:11:00,      3.550000,      6.072000,          9.453000,                    76.082039,      0.961000
                1716070860,           2024-05-18 22:21:00,           2024-05-18 16:21:00,      3.550000,      6.072000,          9.466000,                    76.186669,      0.961000
                1716071460,           2024-05-18 22:31:00,           2024-05-18 16:31:00,      3.550000,      6.023000,          9.459000,                    76.035884,      0.961000
                1716072060,           2024-05-18 22:41:00,           2024-05-18 16:41:00,      3.550000,      6.111000,          9.464000,                    76.245805,      0.961000
                1716072660,           2024-05-18 22:51:00,           2024-05-18 16:51:00,      3.540000,      6.199000,          9.472000,                    76.480231,      0.960000
                1716073260,           2024-05-18 23:01:00,           2024-05-18 17:01:00,      3.540000,      6.277000,          9.425000,                    76.250734,      0.961000
                1716073860,           2024-05-18 23:11:00,           2024-05-18 17:11:00,      3.540000,      6.228000,          9.446000,                    76.326181,      0.961000
                1716074460,           2024-05-18 23:21:00,           2024-05-18 17:21:00,      3.540000,      6.199000,          9.410000,                    75.979622,      0.961000
                1716075060,           2024-05-18 23:31:00,           2024-05-18 17:31:00,      3.540000,      6.316000,          9.407000,                    76.179994,      0.960000
                1716075660,           2024-05-18 23:41:00,           2024-05-18 17:41:00,      3.540000,      6.404000,          9.395000,                    76.251644,      0.960000
                1716076260,           2024-05-18 23:51:00,           2024-05-18 17:51:00,      3.540000,      6.180000,          9.448000,                    76.249832,      0.961000
                1716076860,           2024-05-19 00:01:00,           2024-05-18 18:01:00,      3.540000,      5.994000,          9.447000,                    75.883612,      0.960000
                1716077460,           2024-05-19 00:11:00,           2024-05-18 18:11:00,      3.540000,      5.935000,          9.453000,                    75.818225,      0.960000
                1716078060,           2024-05-19 00:21:00,           2024-05-18 18:21:00,      3.540000,      5.876000,          9.469000,                    75.832825,      0.961000
                1716078660,           2024-05-19 00:31:00,           2024-05-18 18:31:00,      3.540000,      5.827000,          9.482000,                    75.842389,      0.960000
                1716079260,           2024-05-19 00:41:00,           2024-05-18 18:41:00,      3.540000,      5.768000,          9.498000,                    75.856375,      0.960000
                1716079860,           2024-05-19 00:51:00,           2024-05-18 18:51:00,      3.540000,      5.758000,          9.485000,                    75.733261,      0.960000
                1716080460,           2024-05-19 01:01:00,           2024-05-18 19:01:00,      3.540000,      5.699000,          9.516000,                    75.866629,      0.961000
                1716081060,           2024-05-19 01:11:00,           2024-05-18 19:11:00,      3.540000,      5.699000,          9.522000,                    75.914464,      0.961000
                1716081660,           2024-05-19 01:21:00,           2024-05-18 19:21:00,      3.540000,      5.758000,          9.524000,                    76.044657,      0.961000
                1716082260,           2024-05-19 01:31:00,           2024-05-18 19:31:00,      3.540000,      5.856000,          9.486000,                    75.930360,      0.960000
                1716082860,           2024-05-19 01:41:00,           2024-05-18 19:41:00,      3.540000,      5.905000,          9.484000,                    76.008936,      0.961000
                1716083460,           2024-05-19 01:51:00,           2024-05-18 19:51:00,      3.540000,      5.974000,          9.457000,                    75.925414,      0.960000
                1716084060,           2024-05-19 02:01:00,           2024-05-18 20:01:00,      3.540000,      5.974000,          9.471000,                    76.037813,      0.961000
                1716084660,           2024-05-19 02:11:00,           2024-05-18 20:11:00,      3.540000,      5.994000,          9.449000,                    75.899677,      0.960000
                1716085260,           2024-05-19 02:21:00,           2024-05-18 20:21:00,      3.540000,      5.964000,          9.456000,                    75.898127,      0.960000
                1716085860,           2024-05-19 02:31:00,           2024-05-18 20:31:00,      3.540000,      5.945000,          9.476000,                    76.021992,      0.960000
                1716086460,           2024-05-19 02:41:00,           2024-05-18 20:41:00,      3.540000,      5.896000,          9.482000,                    75.975536,      0.960000
                1716087060,           2024-05-19 02:51:00,           2024-05-18 20:51:00,      3.540000,      5.866000,          9.478000,                    75.885612,      0.960000
                1716087660,           2024-05-19 03:01:00,           2024-05-18 21:01:00,      3.540000,      5.837000,          9.489000,                    75.917686,      0.960000
                1716088260,           2024-05-19 03:11:00,           2024-05-18 21:11:00,      3.540000,      5.768000,          9.514000,                    75.984160,      0.960000
                1716088860,           2024-05-19 03:21:00,           2024-05-18 21:21:00,      3.540000,      5.699000,          9.556000,                    76.185530,      0.960000
                1716089460,           2024-05-19 03:31:00,           2024-05-18 21:31:00,      3.540000,      5.659000,          9.577000,                    76.275093,      0.960000
                1716090060,           2024-05-19 03:41:00,           2024-05-18 21:41:00,      3.540000,      5.640000,          9.590000,                    76.341604,      0.960000
                1716090660,           2024-05-19 03:51:00,           2024-05-18 21:51:00,      3.540000,      5.620000,          9.613000,                    76.485634,      0.960000
                1716091260,           2024-05-19 04:01:00,           2024-05-18 22:01:00,      3.540000,      5.600000,          9.636000,                    76.629482,      0.960000
                1716091860,           2024-05-19 04:11:00,           2024-05-18 22:11:00,      3.540000,      5.590000,          9.645000,                    76.681462,      0.960000
                1716092460,           2024-05-19 04:21:00,           2024-05-18 22:21:00,      3.540000,      5.600000,          9.634000,                    76.613577,      0.960000
                1716093060,           2024-05-19 04:31:00,           2024-05-18 22:31:00,      3.540000,      5.570000,          9.663000,                    76.785316,      0.960000
                1716093660,           2024-05-19 04:41:00,           2024-05-18 22:41:00,      3.540000,      5.580000,          9.667000,                    76.836735,      0.960000
                1716094260,           2024-05-19 04:51:00,           2024-05-18 22:51:00,      3.540000,      5.551000,          9.680000,                    76.883054,      0.960000
                1716094860,           2024-05-19 05:01:00,           2024-05-18 23:01:00,      3.540000,      5.531000,          9.689000,                    76.915189,      0.960000
                1716095460,           2024-05-19 05:11:00,           2024-05-18 23:11:00,      3.540000,      5.541000,          9.690000,                    76.942802,      0.960000
                1716096060,           2024-05-19 05:21:00,           2024-05-18 23:21:00,      3.540000,      5.521000,          9.695000,                    76.943136,      0.960000
                1716096660,           2024-05-19 05:31:00,           2024-05-18 23:31:00,      3.540000,      5.541000,          9.698000,                    77.006326,      0.960000
                1716097260,           2024-05-19 05:41:00,           2024-05-18 23:41:00,      3.540000,      5.521000,          9.702000,                    76.998690,      0.960000
                1716097860,           2024-05-19 05:51:00,           2024-05-18 23:51:00,      3.540000,      5.541000,          9.693000,                    76.966623,      0.960000
                1716098460,           2024-05-19 06:01:00,           2024-05-19 00:01:00,      3.540000,      5.501000,          9.713000,                    77.046554,      0.960000
                1716099060,           2024-05-19 06:11:00,           2024-05-19 00:11:00,      3.540000,      5.511000,          9.706000,                    77.010731,      0.960000
                1716099660,           2024-05-19 06:21:00,           2024-05-19 00:21:00,      3.530000,      5.491000,          9.704000,                    76.955465,      0.960000
                1716100260,           2024-05-19 06:31:00,           2024-05-19 00:31:00,      3.530000,      5.511000,          9.701000,                    76.971059,      0.960000
                1716100860,           2024-05-19 06:41:00,           2024-05-19 00:41:00,      3.530000,      5.481000,          9.703000,                    76.927841,      0.960000
                1716101460,           2024-05-19 06:51:00,           2024-05-19 00:51:00,      3.530000,      5.491000,          9.708000,                    76.987187,      0.960000
                1716102060,           2024-05-19 07:01:00,           2024-05-19 01:01:00,      3.530000,      5.472000,          9.685000,                    76.767441,      0.960000
                1716102660,           2024-05-19 07:11:00,           2024-05-19 01:11:00,      3.530000,      5.481000,          9.692000,                    76.840630,      0.960000
                1716103260,           2024-05-19 07:21:00,           2024-05-19 01:21:00,      3.530000,      5.481000,          9.681000,                    76.753419,      0.960000
                1716103860,           2024-05-19 07:31:00,           2024-05-19 01:31:00,      3.530000,      5.462000,          9.684000,                    76.739862,      0.960000
                1716104460,           2024-05-19 07:41:00,           2024-05-19 01:41:00,      3.530000,      5.462000,          9.678000,                    76.692316,      0.959000
                1716105060,           2024-05-19 07:51:00,           2024-05-19 01:51:00,      3.530000,      5.432000,          9.681000,                    76.657156,      0.960000
                1716105660,           2024-05-19 08:01:00,           2024-05-19 02:01:00,      3.530000,      5.452000,          9.674000,                    76.640987,      0.960000
                1716106260,           2024-05-19 08:11:00,           2024-05-19 02:11:00,      3.530000,      5.452000,          9.659000,                    76.522151,      0.960000
                1716106860,           2024-05-19 08:21:00,           2024-05-19 02:21:00,      3.530000,      5.452000,          9.654000,                    76.482539,      0.960000
                1716107460,           2024-05-19 08:31:00,           2024-05-19 02:31:00,      3.530000,      5.452000,          9.651000,                    76.458772,      0.960000
                1716108060,           2024-05-19 08:41:00,           2024-05-19 02:41:00,      3.530000,      5.452000,          9.642000,                    76.387471,      0.960000
                1716108660,           2024-05-19 08:51:00,           2024-05-19 02:51:00,      3.530000,      5.422000,          9.630000,                    76.233784,      0.960000
                1716109260,           2024-05-19 09:01:00,           2024-05-19 03:01:00,      3.530000,      5.422000,          9.635000,                    76.273366,      0.960000
                1716109860,           2024-05-19 09:11:00,           2024-05-19 03:11:00,      3.530000,      5.422000,          9.631000,                    76.241701,      0.959000
                1716110460,           2024-05-19 09:21:00,           2024-05-19 03:21:00,      3.530000,      5.412000,          9.645000,                    76.332962,      0.959000
                1716111060,           2024-05-19 09:31:00,           2024-05-19 03:31:00,      3.530000,      5.452000,          9.649000,                    76.442927,      0.960000
                1716111660,           2024-05-19 09:41:00,           2024-05-19 03:41:00,      3.530000,      5.481000,          9.650000,                    76.507643,      0.960000
                1716112260,           2024-05-19 09:51:00,           2024-05-19 03:51:00,      3.530000,      5.610000,          9.620000,                    76.521785,      0.960000
                1716112860,           2024-05-19 10:01:00,           2024-05-19 04:01:00,      3.530000,      5.787000,          9.596000,                    76.676141,      0.960000
                1716113460,           2024-05-19 10:11:00,           2024-05-19 04:11:00,      3.530000,      5.886000,          9.563000,                    76.605092,      0.959000
                1716114060,           2024-05-19 10:21:00,           2024-05-19 04:21:00,      3.530000,      5.945000,          9.555000,                    76.655776,      0.960000
                1716114660,           2024-05-19 10:31:00,           2024-05-19 04:31:00,      3.530000,      5.964000,          9.553000,                    76.676693,      0.959000
                1716115260,           2024-05-19 10:41:00,           2024-05-19 04:41:00,      3.530000,      5.974000,          9.539000,                    76.583750,      0.959000
                1716115860,           2024-05-19 10:51:00,           2024-05-19 04:51:00,      3.530000,      5.925000,          9.575000,                    76.777236,      0.960000
                1716116460,           2024-05-19 11:01:00,           2024-05-19 05:01:00,      3.530000,      5.886000,          9.559000,                    76.573049,      0.960000
                1716117060,           2024-05-19 11:11:00,           2024-05-19 05:11:00,      3.520000,      5.886000,          9.559000,                    76.573049,      0.959000
                1716117660,           2024-05-19 11:21:00,           2024-05-19 05:21:00,      3.520000,      5.846000,          9.561000,                    76.511239,      0.959000
                1716118260,           2024-05-19 11:31:00,           2024-05-19 05:31:00,      3.530000,      5.837000,          9.575000,                    76.605738,      0.959000
                1716118860,           2024-05-19 11:41:00,           2024-05-19 05:41:00,      3.530000,      5.827000,          9.567000,                    76.522267,      0.960000
                1716119460,           2024-05-19 11:51:00,           2024-05-19 05:51:00,      3.520000,      5.846000,          9.552000,                    76.439217,      0.959000
                1716120060,           2024-05-19 12:01:00,           2024-05-19 06:01:00,      3.520000,      5.837000,          9.555000,                    76.445726,      0.959000
                1716120660,           2024-05-19 12:11:00,           2024-05-19 06:11:00,      3.520000,      5.856000,          9.559000,                    76.514686,      0.959000
                1716121260,           2024-05-19 12:21:00,           2024-05-19 06:21:00,      3.520000,      5.846000,          9.556000,                    76.471226,      0.960000
                1716121860,           2024-05-19 12:31:00,           2024-05-19 06:31:00,      3.520000,      5.846000,          9.560000,                    76.503236,      0.959000
                1716122460,           2024-05-19 12:41:00,           2024-05-19 06:41:00,      3.520000,      5.876000,          9.538000,                    76.385414,      0.959000
                1716123060,           2024-05-19 12:51:00,           2024-05-19 06:51:00,      3.520000,      5.866000,          9.543000,                    76.406035,      0.959000
                1716123660,           2024-05-19 13:01:00,           2024-05-19 07:01:00,      3.520000,      5.886000,          9.534000,                    76.372785,      0.959000
                1716124260,           2024-05-19 13:11:00,           2024-05-19 07:11:00,      3.520000,      5.896000,          9.547000,                    76.496355,      0.961000
                1716124860,           2024-05-19 13:21:00,           2024-05-19 07:21:00,      3.520000,      5.876000,          9.513000,                    76.185201,      0.959000
                1716125460,           2024-05-19 13:31:00,           2024-05-19 07:31:00,      3.520000,      5.876000,          9.516000,                    76.209226,      0.959000
                1716126060,           2024-05-19 13:41:00,           2024-05-19 07:41:00,      3.520000,      5.817000,          9.519000,                    76.118970,      0.959000
                1716126660,           2024-05-19 13:51:00,           2024-05-19 07:51:00,      3.520000,      5.649000,          9.544000,                    75.992873,      0.960000
                1716127260,           2024-05-19 14:01:00,           2024-05-19 08:01:00,      3.520000,      5.531000,          9.550000,                    75.811751,      0.960000
                1716127860,           2024-05-19 14:11:00,           2024-05-19 08:11:00,      3.520000,      5.481000,          9.524000,                    75.508684,      0.959000
                1716128460,           2024-05-19 14:21:00,           2024-05-19 08:21:00,      3.520000,      5.353000,          9.506000,                    75.119127,      0.960000
                1716129060,           2024-05-19 14:31:00,           2024-05-19 08:31:00,      3.520000,      5.313000,          9.515000,                    75.113081,      0.960000
                1716129660,           2024-05-19 14:41:00,           2024-05-19 08:41:00,      3.520000,      5.343000,          9.515000,                    75.170954,      0.961000
                1716130260,           2024-05-19 14:51:00,           2024-05-19 08:51:00,      3.520000,      5.303000,          9.522000,                    75.149038,      0.959000
                1716130860,           2024-05-19 15:01:00,           2024-05-19 09:01:00,      3.520000,      5.313000,          9.513000,                    75.097293,      0.960000
                1716131460,           2024-05-19 15:11:00,           2024-05-19 09:11:00,      3.520000,      5.353000,          9.504000,                    75.103323,      0.960000
                1716132060,           2024-05-19 15:21:00,           2024-05-19 09:21:00,      3.520000,      5.472000,          9.461000,                    74.991922,      0.960000
                1716132660,           2024-05-19 15:31:00,           2024-05-19 09:31:00,      3.520000,      5.531000,          9.425000,                    74.819450,      0.960000
                1716133260,           2024-05-19 15:41:00,           2024-05-19 09:41:00,      3.520000,      5.570000,          9.410000,                    74.774897,      0.960000
                1716133860,           2024-05-19 15:51:00,           2024-05-19 09:51:00,      3.520000,      5.541000,          9.431000,                    74.886230,      0.960000
                1716134460,           2024-05-19 16:01:00,           2024-05-19 10:01:00,      3.520000,      5.600000,          9.396000,                    74.720902,      0.960000
                1716135060,           2024-05-19 16:11:00,           2024-05-19 10:11:00,      3.520000,      5.640000,          9.385000,                    74.709693,      0.960000
                1716135660,           2024-05-19 16:21:00,           2024-05-19 10:21:00,      3.520000,      5.669000,          9.362000,                    74.581772,      0.959000
                1716136260,           2024-05-19 16:31:00,           2024-05-19 10:31:00,      3.520000,      5.728000,          9.351000,                    74.606291,      0.960000
                1716136860,           2024-05-19 16:41:00,           2024-05-19 10:41:00,      3.520000,      5.748000,          9.339000,                    74.548528,      0.960000
                1716137460,           2024-05-19 16:51:00,           2024-05-19 10:51:00,      3.520000,      5.758000,          9.321000,                    74.423798,      0.960000
                1716138060,           2024-05-19 17:01:00,           2024-05-19 11:01:00,      3.520000,      5.709000,          9.296000,                    74.131569,      0.960000
                1716138660,           2024-05-19 17:11:00,           2024-05-19 11:11:00,      3.520000,      5.669000,          9.301000,                    74.095820,      0.960000
                1716139260,           2024-05-19 17:21:00,           2024-05-19 11:21:00,      3.520000,      5.600000,          9.300000,                    73.957470,      0.960000
                1716139860,           2024-05-19 17:31:00,           2024-05-19 11:31:00,      3.520000,      5.580000,          9.298000,                    73.903793,      0.959000
                1716140460,           2024-05-19 17:41:00,           2024-05-19 11:41:00,      3.520000,      5.570000,          9.320000,                    74.059728,      0.960000
                1716141060,           2024-05-19 17:51:00,           2024-05-19 11:51:00,      3.520000,      5.590000,          9.313000,                    74.041934,      0.960000
                1716141660,           2024-05-19 18:01:00,           2024-05-19 12:01:00,      3.520000,      5.600000,          9.316000,                    74.084709,      0.960000
                1716142260,           2024-05-19 18:11:00,           2024-05-19 12:11:00,      3.520000,      5.590000,          9.330000,                    74.177091,      0.960000
                1716142860,           2024-05-19 18:21:00,           2024-05-19 12:21:00,      3.520000,      5.590000,          9.336000,                    74.224793,      0.960000
                1716143460,           2024-05-19 18:31:00,           2024-05-19 12:31:00,      3.520000,      5.600000,          9.334000,                    74.227852,      0.960000
                1716144060,           2024-05-19 18:41:00,           2024-05-19 12:41:00,      3.520000,      5.649000,          9.328000,                    74.273001,      0.960000
                1716144660,           2024-05-19 18:51:00,           2024-05-19 12:51:00,      3.510000,      5.659000,          9.335000,                    74.347708,      0.960000
                1716145260,           2024-05-19 19:01:00,           2024-05-19 13:01:00,      3.510000,      5.659000,          9.343000,                    74.411423,      0.960000
                1716145860,           2024-05-19 19:11:00,           2024-05-19 13:11:00,      3.510000,      5.718000,          9.340000,                    74.499539,      0.960000
                1716146460,           2024-05-19 19:21:00,           2024-05-19 13:21:00,      3.510000,      5.748000,          9.339000,                    74.548528,      0.960000
                1716147060,           2024-05-19 19:31:00,           2024-05-19 13:31:00,      3.510000,      5.768000,          9.338000,                    74.578525,      0.960000
                1716147660,           2024-05-19 19:41:00,           2024-05-19 13:41:00,      3.510000,      5.768000,          9.344000,                    74.626445,      0.960000
                1716148260,           2024-05-19 19:51:00,           2024-05-19 13:51:00,      3.510000,      5.778000,          9.331000,                    74.541597,      0.959000
                1716148860,           2024-05-19 20:01:00,           2024-05-19 14:01:00,      3.510000,      5.817000,          9.327000,                    74.583636,      0.959000
                1716149460,           2024-05-19 20:11:00,           2024-05-19 14:11:00,      3.510000,      5.817000,          9.350000,                    74.767556,      0.960000
                1716150060,           2024-05-19 20:21:00,           2024-05-19 14:21:00,      3.510000,      5.846000,          9.353000,                    74.846733,      0.960000
                1716150660,           2024-05-19 20:31:00,           2024-05-19 14:31:00,      3.510000,      5.856000,          9.357000,                    74.897784,      0.960000
                1716151260,           2024-05-19 20:41:00,           2024-05-19 14:41:00,      3.510000,      5.846000,          9.354000,                    74.854735,      0.960000
                1716151860,           2024-05-19 20:51:00,           2024-05-19 14:51:00,      3.510000,      5.856000,          9.364000,                    74.953815,      0.960000
                1716152460,           2024-05-19 21:01:00,           2024-05-19 15:01:00,      3.510000,      5.856000,          9.356000,                    74.889779,      0.960000
                1716153060,           2024-05-19 21:11:00,           2024-05-19 15:11:00,      3.510000,      5.866000,          9.353000,                    74.884800,      0.960000
                1716153660,           2024-05-19 21:21:00,           2024-05-19 15:21:00,      3.510000,      5.797000,          9.373000,                    74.913341,      0.960000
                1716154260,           2024-05-19 21:31:00,           2024-05-19 15:31:00,      3.510000,      5.797000,          9.371000,                    74.897356,      0.960000
                1716154860,           2024-05-19 21:41:00,           2024-05-19 15:41:00,      3.510000,      5.768000,          9.376000,                    74.882015,      0.960000
                1716155460,           2024-05-19 21:51:00,           2024-05-19 15:51:00,      3.510000,      5.758000,          9.386000,                    74.942792,      0.960000
                1716156060,           2024-05-19 22:01:00,           2024-05-19 16:01:00,      3.510000,      5.738000,          9.386000,                    74.904620,      0.960000
                1716156660,           2024-05-19 22:11:00,           2024-05-19 16:11:00,      3.510000,      5.709000,          9.398000,                    74.944975,      0.960000
                1716157260,           2024-05-19 22:21:00,           2024-05-19 16:21:00,      3.510000,      5.699000,          9.392000,                    74.878035,      0.959000
                1716157860,           2024-05-19 22:31:00,           2024-05-19 16:31:00,      3.510000,      5.679000,          9.407000,                    74.959381,      0.960000
                1716158460,           2024-05-19 22:41:00,           2024-05-19 16:41:00,      3.510000,      5.669000,          9.412000,                    74.980094,      0.960000
                1716159060,           2024-05-19 22:51:00,           2024-05-19 16:51:00,      3.510000,      5.649000,          9.408000,                    74.909991,      0.959000
                1716159660,           2024-05-19 23:01:00,           2024-05-19 17:01:00,      3.510000,      5.590000,          9.429000,                    74.964179,      0.960000
                1716160260,           2024-05-19 23:11:00,           2024-05-19 17:11:00,      3.510000,      5.600000,          9.431000,                    74.999236,      0.960000
                1716160860,           2024-05-19 23:21:00,           2024-05-19 17:21:00,      3.510000,      5.580000,          9.445000,                    75.072201,      0.960000
                1716161460,           2024-05-19 23:31:00,           2024-05-19 17:31:00,      3.510000,      5.590000,          9.436000,                    75.019831,      0.960000
                1716162060,           2024-05-19 23:41:00,           2024-05-19 17:41:00,      3.510000,      5.570000,          9.435000,                    74.973555,      0.960000
                1716162660,           2024-05-19 23:51:00,           2024-05-19 17:51:00,      3.510000,      5.551000,          9.444000,                    75.008632,      0.960000
                1716163260,           2024-05-20 00:01:00,           2024-05-19 18:01:00,      3.510000,      5.521000,          9.450000,                    74.998724,      0.960000
                1716163860,           2024-05-20 00:11:00,           2024-05-19 18:11:00,      3.510000,      5.551000,          9.457000,                    75.111884,      0.960000
                1716164460,           2024-05-20 00:21:00,           2024-05-19 18:21:00,      3.510000,      5.531000,          9.457000,                    75.073479,      0.960000
                1716165060,           2024-05-20 00:31:00,           2024-05-19 18:31:00,      3.510000,      5.541000,          9.455000,                    75.076800,      0.960000
                1716165660,           2024-05-20 00:41:00,           2024-05-19 18:41:00,      3.510000,      5.491000,          9.452000,                    74.957034,      0.960000
                1716166260,           2024-05-20 00:51:00,           2024-05-19 18:51:00,      3.510000,      5.452000,          9.463000,                    74.969367,      0.960000
                1716166860,           2024-05-20 01:01:00,           2024-05-19 19:01:00,      3.510000,      5.422000,          9.459000,                    74.880100,      0.960000
                1716167460,           2024-05-20 01:11:00,           2024-05-19 19:11:00,      3.510000,      5.392000,          9.465000,                    74.869997,      0.960000
                1716168060,           2024-05-20 01:21:00,           2024-05-19 19:21:00,      3.510000,      5.353000,          9.481000,                    74.921570,      0.960000
                1716168660,           2024-05-20 01:31:00,           2024-05-19 19:31:00,      3.510000,      5.362000,          9.474000,                    74.883545,      0.960000
                1716169260,           2024-05-20 01:41:00,           2024-05-19 19:41:00,      3.510000,      5.353000,          9.466000,                    74.803036,      0.960000
                1716169860,           2024-05-20 01:51:00,           2024-05-19 19:51:00,      3.510000,      5.333000,          9.471000,                    74.804139,      0.959000
                1716170460,           2024-05-20 02:01:00,           2024-05-19 20:01:00,      3.510000,      5.343000,          9.464000,                    74.768041,      0.960000
                1716171060,           2024-05-20 02:11:00,           2024-05-19 20:11:00,      3.510000,      5.333000,          9.457000,                    74.693564,      0.960000
                1716171660,           2024-05-20 02:21:00,           2024-05-19 20:21:00,      3.510000,      5.333000,          9.474000,                    74.827834,      0.960000
                1716172260,           2024-05-20 02:31:00,           2024-05-19 20:31:00,      3.510000,      5.353000,          9.469000,                    74.826743,      0.960000
                1716172860,           2024-05-20 02:41:00,           2024-05-19 20:41:00,      3.500000,      5.382000,          9.453000,                    74.755901,      0.960000
                1716173460,           2024-05-20 02:51:00,           2024-05-19 20:51:00,      3.500000,      5.362000,          9.462000,                    74.788695,      0.960000
                1716174060,           2024-05-20 03:01:00,           2024-05-19 21:01:00,      3.500000,      5.353000,          9.455000,                    74.716111,      0.960000
                1716174660,           2024-05-20 03:11:00,           2024-05-19 21:11:00,      3.500000,      5.372000,          9.457000,                    74.768354,      0.959000
                1716175260,           2024-05-20 03:21:00,           2024-05-19 21:21:00,      3.500000,      5.372000,          9.463000,                    74.815790,      0.960000
                1716175860,           2024-05-20 03:31:00,           2024-05-19 21:31:00,      3.500000,      5.323000,          9.462000,                    74.713872,      0.960000
                1716176460,           2024-05-20 03:41:00,           2024-05-19 21:41:00,      3.500000,      5.333000,          9.449000,                    74.630378,      0.960000
                1716177060,           2024-05-20 03:51:00,           2024-05-19 21:51:00,      3.500000,      5.333000,          9.461000,                    74.725157,      0.960000
                1716177660,           2024-05-20 04:01:00,           2024-05-19 22:01:00,      3.500000,      5.323000,          9.498000,                    74.998135,      0.960000
                1716178260,           2024-05-20 04:11:00,           2024-05-19 22:11:00,      3.500000,      5.758000,          9.472000,                    75.629462,      0.960000
                1716178860,           2024-05-20 04:21:00,           2024-05-19 22:21:00,      3.500000,      5.827000,          9.426000,                    75.394470,      0.960000
                1716179460,           2024-05-20 04:31:00,           2024-05-19 22:31:00,      3.500000,      5.886000,          9.435000,                    75.579738,      0.959000
                1716180060,           2024-05-20 04:41:00,           2024-05-19 22:41:00,      3.500000,      5.896000,          9.397000,                    75.294464,      0.960000
                1716180660,           2024-05-20 04:51:00,           2024-05-19 22:51:00,      3.500000,      5.954000,          9.419000,                    75.581967,      0.960000
                1716181260,           2024-05-20 05:01:00,           2024-05-19 23:01:00,      3.500000,      5.964000,          9.401000,                    75.456672,      0.959000
                1716181860,           2024-05-20 05:11:00,           2024-05-19 23:11:00,      3.500000,      5.945000,          9.407000,                    75.468434,      0.959000
                1716182460,           2024-05-20 05:21:00,           2024-05-19 23:21:00,      3.500000,      5.925000,          9.421000,                    75.542386,      0.960000
                1716183060,           2024-05-20 05:31:00,           2024-05-19 23:31:00,      3.500000,      5.452000,          9.400000,                    74.470258,      0.959000
                1716183660,           2024-05-20 05:41:00,           2024-05-19 23:41:00,      3.500000,      5.333000,          9.433000,                    74.504007,      0.959000
                1716184260,           2024-05-20 05:51:00,           2024-05-19 23:51:00,      3.500000,      5.283000,          9.455000,                    74.581935,      0.960000
                1716184860,           2024-05-20 06:01:00,           2024-05-20 00:01:00,      3.500000,      5.333000,          9.444000,                    74.590887,      0.960000
                1716185460,           2024-05-20 06:11:00,           2024-05-20 00:11:00,      3.500000,      5.313000,          9.435000,                    74.481547,      0.960000
